Date_Reported,Cumulative_Cases
26/05/2024,272032
02/06/2024,272033
09/06/2024,272034
16/06/2024,272035
23/06/2024,272038
30/06/2024,272046
07/07/2024,272052
14/07/2024,272083
21/07/2024,272115
28/07/2024,272121
04/08/2024,272139
11/08/2024,272139
05/01/2020,0
12/01/2020,0
19/01/2020,0
26/01/2020,0
02/02/2020,0
09/02/2020,0
16/02/2020,0
23/02/2020,0
01/03/2020,0
08/03/2020,0
15/03/2020,0
22/03/2020,0
29/03/2020,0
05/04/2020,0
12/04/2020,0
19/04/2020,0
26/04/2020,0
03/05/2020,0
10/05/2020,0
17/05/2020,0
24/05/2020,0
31/05/2020,0
07/06/2020,0
14/06/2020,0
21/06/2020,0
28/06/2020,0
05/07/2020,0
12/07/2020,0
19/07/2020,0
26/07/2020,0
02/08/2020,0
09/08/2020,0
16/08/2020,0
23/08/2020,0
30/08/2020,0
06/09/2020,0
13/09/2020,0
20/09/2020,0
27/09/2020,0
04/10/2020,0
11/10/2020,0
18/10/2020,0
25/10/2020,0
01/11/2020,0
08/11/2020,0
15/11/2020,0
22/11/2020,0
29/11/2020,0
06/12/2020,0
13/12/2020,0
20/12/2020,0
27/12/2020,0
03/01/2021,0
10/01/2021,0
17/01/2021,0
24/01/2021,0
31/01/2021,0
07/02/2021,0
14/02/2021,0
21/02/2021,0
28/02/2021,0
07/03/2021,0
14/03/2021,0
21/03/2021,0
28/03/2021,0
04/04/2021,0
11/04/2021,0
18/04/2021,0
25/04/2021,0
02/05/2021,0
09/05/2021,0
16/05/2021,0
23/05/2021,0
30/05/2021,0
06/06/2021,0
13/06/2021,0
20/06/2021,0
27/06/2021,0
04/07/2021,0
11/07/2021,0
18/07/2021,0
25/07/2021,0
01/08/2021,0
08/08/2021,0
15/08/2021,0
22/08/2021,0
29/08/2021,0
05/09/2021,0
12/09/2021,0
19/09/2021,1
26/09/2021,1
03/10/2021,1
10/10/2021,3
17/10/2021,3
24/10/2021,4
31/10/2021,4
07/11/2021,4
14/11/2021,5
21/11/2021,5
28/11/2021,5
05/12/2021,10
12/12/2021,11
19/12/2021,11
26/12/2021,11
02/01/2022,11
09/01/2022,18
16/01/2022,18
23/01/2022,18
30/01/2022,18
06/02/2022,49
13/02/2022,57
20/02/2022,57
27/02/2022,84
06/03/2022,292
13/03/2022,555
20/03/2022,1397
27/03/2022,3278
03/04/2022,4656
10/04/2022,5402
17/04/2022,5535
24/04/2022,5765
01/05/2022,5857
08/05/2022,5955
15/05/2022,6018
22/05/2022,6083
29/05/2022,6145
05/06/2022,6269
12/06/2022,6342
19/06/2022,6414
26/06/2022,6505
03/07/2022,6505
10/07/2022,6505
17/07/2022,7468
24/07/2022,7468
31/07/2022,7766
07/08/2022,7952
14/08/2022,8042
21/08/2022,8042
28/08/2022,8168
04/09/2022,8168
11/09/2022,8217
18/09/2022,8235
25/09/2022,8247
02/10/2022,8250
09/10/2022,8250
16/10/2022,8251
23/10/2022,8253
30/10/2022,8257
06/11/2022,8257
13/11/2022,8262
20/11/2022,8263
27/11/2022,8264
04/12/2022,8264
